Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/mitchell-50x50-allk-35d_output.txt,0.424,0.166667,0.1,0.2
outputs/mitchell-50x50-allk-85d_output.txt,0.648,0.238095,0.1,0.2
outputs/mitchell-50x50-allk-55d_output.txt,0.616,0.214286,0.1,0.2
outputs/mitchell-50x50-allk-90d_output.txt,0.744,0.119048,0.1,0.2
outputs/japanese-50x50-allk-145d_output.txt,0.1375,0.132075,0.1,0.2
outputs/japanese-50x50-allk-125d_output.txt,0.85,0.490566,0.1,0.2
outputs/japanese-50x50-allk-160d_output.txt,0.8375,0.358491,0.1,0.2
outputs/mitchell-50x50-allk-75d_output.txt,0.664,0.285714,0.1,0.2
outputs/all-50x50-100k-50d_output.txt,0.169675,0.118919,0.1,0.2
outputs/japanese-50x50-allk-45d_output.txt,0.89375,0.754717,0.1,0.2
outputs/all-50x50-200k-100d_output.txt,0.440433,0.243243,0.1,0.2
outputs/japanese-50x50-allk-25d_output.txt,0.7875,0.754717,0.1,0.2
outputs/japanese-50x50-allk-60d_output.txt,0.91875,0.679245,0.1,0.2
outputs/mitchell-50x50-allk-60d_output.txt,0.608,0.238095,0.1,0.2
outputs/mitchell-50x50-allk-95d_output.txt,0.68,0.214286,0.1,0.2
outputs/mitchell-50x50-allk-70d_output.txt,0.632,0.261905,0.1,0.2
outputs/japanese-50x50-allk-185d_output.txt,0.7,0.169811,0.1,0.2
outputs/japanese-50x50-allk-165d_output.txt,0.5875,0.301887,0.1,0.2
outputs/japanese-50x50-allk-99v_output.txt,0.88125,0.528302,0.1,0.2
outputs/japanese-50x50-allk-105d_output.txt,0.90625,0.566038,0.1,0.2
outputs/japanese-50x50-allk-150d_output.txt,0.68125,0.264151,0.1,0.2
outputs/mitchell-50x50-allk-10d_output.txt,0.344,0.119048,0.1,0.2
outputs/japanese-50x50-allk-130d_output.txt,0.85625,0.377358,0.1,0.2
outputs/japanese-50x50-allk-70d_output.txt,0.9125,0.735849,0.1,0.2
outputs/japanese-50x50-allk-35d_output.txt,0.9125,0.754717,0.1,0.2
outputs/japanese-50x50-allk-55d_output.txt,0.925,0.641509,0.1,0.2
outputs/mitchell-50x50-allk-125d_output.txt,0.816,0.238095,0.1,0.2
outputs/mitchell-50x50-allk-80d_output.txt,0.592,0.285714,0.1,0.2
outputs/japanese-50x50-allk-140d_output.txt,0.86875,0.339623,0.1,0.2
outputs/japanese-50x50-allk-195d_output.txt,0.6,0.188679,0.1,0.2
outputs/mitchell-50x50-allk-115d_output.txt,0.8,0.190476,0.1,0.2
outputs/mitchell-50x50-allk-50d_output.txt,0.456,0.190476,0.1,0.2
outputs/japanese-50x50-allk-95d_output.txt,0.91875,0.716981,0.1,0.2
outputs/japanese-50x50-allk-120d_output.txt,0.875,0.622642,0.1,0.2
outputs/japanese-50x50-allk-190d_output.txt,0.7625,0.150943,0.1,0.2
outputs/japanese-50x50-allk-40d_output.txt,0.8875,0.773585,0.1,0.2
outputs/mitchell-50x50-allk-20d_output.txt,0.288,0.309524,0.1,0.2
outputs/japanese-50x50-allk-15d_output.txt,0.70625,0.528302,0.1,0.2
outputs/japanese-50x50-allk-205d_output.txt,0.7,0.150943,0.1,0.2
,,0.378553313158
