Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/japanese-50x50-allk-60d_output.txt,0.1375,0.169811,0.4,0.9
outputs/mitchell-50x50-allk-60d_output.txt,0.0,0.0,0.4,0.9
outputs/mitchell-50x50-allk-95d_output.txt,0.232,0.309524,0.4,0.9
outputs/mitchell-50x50-allk-70d_output.txt,0.224,0.380952,0.4,0.9
outputs/japanese-50x50-allk-185d_output.txt,0.14375,0.132075,0.4,0.9
outputs/japanese-50x50-allk-165d_output.txt,0.11875,0.207547,0.4,0.9
outputs/japanese-50x50-allk-99v_output.txt,0.15,0.132075,0.4,0.9
outputs/japanese-50x50-allk-105d_output.txt,0.11875,0.188679,0.4,0.9
outputs/japanese-50x50-allk-150d_output.txt,0.15,0.150943,0.4,0.9
outputs/mitchell-50x50-allk-10d_output.txt,0.328,0.190476,0.4,0.9
outputs/japanese-50x50-allk-130d_output.txt,0.1375,0.132075,0.4,0.9
outputs/japanese-50x50-allk-70d_output.txt,0.1375,0.150943,0.4,0.9
outputs/japanese-50x50-allk-35d_output.txt,0.1625,0.0754717,0.4,0.9
outputs/japanese-50x50-allk-55d_output.txt,0.1625,0.0943396,0.4,0.9
outputs/mitchell-50x50-allk-125d_output.txt,0.232,0.261905,0.4,0.9
outputs/mitchell-50x50-allk-80d_output.txt,0.248,0.261905,0.4,0.9
outputs/japanese-50x50-allk-140d_output.txt,0.13125,0.169811,0.4,0.9
outputs/japanese-50x50-allk-195d_output.txt,0.125,0.188679,0.4,0.9
outputs/mitchell-50x50-allk-115d_output.txt,0.24,0.238095,0.4,0.9
outputs/mitchell-50x50-allk-50d_output.txt,0.0,0.0,0.4,0.9
outputs/japanese-50x50-allk-95d_output.txt,0.11875,0.207547,0.4,0.9
outputs/japanese-50x50-allk-120d_output.txt,0.1375,0.132075,0.4,0.9
outputs/japanese-50x50-allk-190d_output.txt,0.10625,0.188679,0.4,0.9
outputs/japanese-50x50-allk-40d_output.txt,0.125,0.207547,0.4,0.9
outputs/mitchell-50x50-allk-20d_output.txt,0.0,0.0,0.4,0.9
outputs/japanese-50x50-allk-15d_output.txt,0.78125,0.584906,0.4,0.9
outputs/japanese-50x50-allk-205d_output.txt,0.125,0.188679,0.4,0.9
,,0.159352701316
